日付,時刻,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),平均風速(m/s),風向,日照時間(h),降雪(cm),積雪(cm)
2024-01-05,13,0,10.1,///,///,///,1.3,南南東,1,///,///
2024-01-05,14,0,10.9,///,///,///,2.1,南東,1,///,///
2024-01-05,15,0,10,///,///,///,0.9,南,1,///,///
2024-01-05,16,0,6.8,///,///,///,1.5,南西,0.8,///,///
2024-01-05,17,0,5.8,///,///,///,1.4,西,0,///,///
2024-01-05,18,0,3.6,///,///,///,1.1,北西,,///,///
2024-01-05,19,0,4.2,///,///,///,1.4,西北西,,///,///
2024-01-05,20,0,2.7,///,///,///,0.3,西北西,,///,///
2024-01-05,21,0,2.1,///,///,///,1,北西,,///,///
2024-01-05,22,0,1.2,///,///,///,1,北西,,///,///
2024-01-05,23,0,-0.2,///,///,///,0.6,北西,,///,///
2024-01-05,24,0,-0.6,///,///,///,0.2,静穏,,///,///
2024-01-06,1,0,-1.6,///,///,///,0.3,西,,///,///
2024-01-06,2,0,-1.6,///,///,///,0.3,北西,,///,///
2024-01-06,3,0,-1.5,///,///,///,0.8,西北西,,///,///
2024-01-06,4,0,-2,///,///,///,0.5,西南西,,///,///
2024-01-06,5,0,-2.1,///,///,///,0.5,北西,,///,///
2024-01-06,6,0,-2.1,///,///,///,0.3,北西,,///,///
2024-01-06,7,0,-2.4,///,///,///,0.4,西,0,///,///
2024-01-06,8,0,0.3,///,///,///,0.7,北西,0.8,///,///
2024-01-06,9,0,2.5,///,///,///,1.5,南東,1,///,///
2024-01-06,10,0,4.8,///,///,///,1.7,東,1,///,///
2024-01-06,11,0,6.7,///,///,///,1.8,東南東,1,///,///
2024-01-06,12,0,9.1,///,///,///,2.6,東南東,1,///,///
2024-01-06,13,0,10.8,///,///,///,1.8,東南東,1,///,///
2024-01-06,14,0,12.7,///,///,///,2.6,南東,1,///,///
2024-01-06,15,0,11.9,///,///,///,1.6,南東,1,///,///
2024-01-06,16,0,9.1,///,///,///,1.2,南西,0.8,///,///
2024-01-06,17,0,7.7,///,///,///,0.9,西,0,///,///
2024-01-06,18,0,6.2,///,///,///,1.1,西南西,,///,///
2024-01-06,19,0,4.5,///,///,///,1.5,西南西,,///,///
2024-01-06,20,0,4.4,///,///,///,0.9,北西,,///,///
2024-01-06,21,0,3.1,///,///,///,1.2,西,,///,///
2024-01-06,22,0,2.6,///,///,///,0.7,北西,,///,///
2024-01-06,23,0,2.1,///,///,///,1.7,南南西,,///,///
2024-01-06,24,0,1.3,///,///,///,0.7,西南西,,///,///
2024-01-07,1,0,1,///,///,///,0.6,南南東,,///,///
2024-01-07,2,0,0.5,///,///,///,1,北西,,///,///
2024-01-07,3,0,0.1,///,///,///,0.9,北西,,///,///
2024-01-07,4,0,0.4,///,///,///,1.1,西南西,,///,///
2024-01-07,5,0,3.1,///,///,///,1.3,北東,,///,///
2024-01-07,6,0,6.1,///,///,///,3.4,西北西,,///,///
2024-01-07,7,0,4.4,///,///,///,2.1,北,0,///,///
2024-01-07,8,0,6.8,///,///,///,4.6,北西,0.8,///,///
2024-01-07,9,0,7.4,///,///,///,7.5,北西,1,///,///
2024-01-07,10,0,8.5,///,///,///,6.5,北西,1,///,///
2024-01-07,11,0,9.6,///,///,///,5,北西,1,///,///
2024-01-07,12,0,10.6,///,///,///,3.6,北北西,1,///,///
2024-01-07,13,0,11,///,///,///,2.5,北,1,///,///
2024-01-07,14,0,11.5,///,///,///,0.9,南南東,1,///,///
2024-01-07,15,0,10.7,///,///,///,5.1,北,1,///,///
2024-01-07,16,0,8.5,///,///,///,4.2,北北西,0.8,///,///
2024-01-07,17,0,7.4,///,///,///,5.6,北西,0,///,///
2024-01-07,18,0,5.5,///,///,///,2.5,北北西,,///,///
2024-01-07,19,0,3.9,///,///,///,4,北北西,,///,///
2024-01-07,20,0,3.6,///,///,///,3.7,北西,,///,///
2024-01-07,21,0,3.4,///,///,///,1.7,西,,///,///
2024-01-07,22,0,3.2,///,///,///,2.1,西北西,,///,///
2024-01-07,23,0,3,///,///,///,2.3,北西,,///,///
2024-01-07,24,0,2.7,///,///,///,3.7,北北西,,///,///
2024-01-08,1,0,2,///,///,///,4.4,北西,,///,///
2024-01-08,2,0,2.1,///,///,///,3.5,北西,,///,///
2024-01-08,3,0,1.8,///,///,///,1.6,北北西,,///,///
2024-01-08,4,0,1.2,///,///,///,2.9,北北西,,///,///
2024-01-08,5,0,1.2,///,///,///,2.5,北,,///,///
2024-01-08,6,0,0.8,///,///,///,3.9,北北西,,///,///
2024-01-08,7,0,-0.1,///,///,///,1.5,西北西,0,///,///
2024-01-08,8,0,2.2,///,///,///,2.3,北北西,0.8,///,///
2024-01-08,9,0,3.5,///,///,///,1.8,北北西,1,///,///
2024-01-08,10,0,4.3,///,///,///,5.2,北,1,///,///
2024-01-08,11,0,5.3,///,///,///,6.4,北北西,1,///,///
2024-01-08,12,0,5.9,///,///,///,5.5,北北西,1,///,///
2024-01-08,13,0,6.7,///,///,///,4.4,北西,1,///,///
2024-01-08,14,0,7.4,///,///,///,4.2,北北西,1,///,///
2024-01-08,15,0,7.4,///,///,///,3,北北西,1,///,///
2024-01-08,16,0,4.7,///,///,///,1,西北西,0.9,///,///
2024-01-08,17,0,2.8,///,///,///,1.5,西北西,0,///,///
2024-01-08,18,0,1.9,///,///,///,1,西北西,,///,///
2024-01-08,19,0,1.9,///,///,///,2.7,西北西,,///,///
2024-01-08,20,0,0.5,///,///,///,1.5,北西,,///,///
2024-01-08,21,0,-0.2,///,///,///,1,西,,///,///
2024-01-08,22,0,-1.8,///,///,///,0.9,西,,///,///
2024-01-08,23,0,-1.9,///,///,///,1,西北西,,///,///
2024-01-08,24,0,-3.2,///,///,///,0.5,西北西,,///,///
2024-01-09,1,0,-1.9,///,///,///,1.1,西北西,,///,///
2024-01-09,2,0,-3.8,///,///,///,1.3,西北西,,///,///
2024-01-09,3,0,-3.4,///,///,///,0.8,西,,///,///
2024-01-09,4,0,-4.6,///,///,///,0.1,静穏,,///,///
2024-01-09,5,0,-4.2,///,///,///,1.4,西北西,,///,///
2024-01-09,6,0,-5.4,///,///,///,0.5,西,,///,///
2024-01-09,7,0,-5.8,///,///,///,0.2,静穏,0,///,///
2024-01-09,8,0,-3.5,///,///,///,0.3,西,0.8,///,///
2024-01-09,9,0,-1.1,///,///,///,0.5,北北東,1,///,///
2024-01-09,10,0,2.4,///,///,///,0.9,東南東,1,///,///
2024-01-09,11,0,3.3,///,///,///,1.1,東南東,1,///,///
2024-01-09,12,0,5.2,///,///,///,2.1,東南東,1,///,///
2024-01-09,13,0,6.4,///,///,///,2.4,東南東,1,///,///
2024-01-09,14,0,7.2,///,///,///,2.1,東南東,1,///,///
2024-01-09,15,0,7.1,///,///,///,1.8,南東,1,///,///
2024-01-09,16,0,4.4,///,///,///,1.7,西南西,0.9,///,///
2024-01-09,17,0,2.5,///,///,///,0.7,西北西,0,///,///
2024-01-09,18,0,1.6,///,///,///,1,北北西,,///,///
2024-01-09,19,0,-0.4,///,///,///,0.6,西,,///,///
2024-01-09,20,0,-1.4,///,///,///,0.4,西南西,,///,///
2024-01-09,21,0,-1.7,///,///,///,0.1,静穏,,///,///
2024-01-09,22,0,-2.4,///,///,///,0.6,西北西,,///,///
2024-01-09,23,0,-2.3,///,///,///,0.9,西,,///,///
2024-01-09,24,0,-3.4,///,///,///,0.1,静穏,,///,///
2024-01-10,1,0,-3.4,///,///,///,0.6,西,,///,///
2024-01-10,2,0,-3.7,///,///,///,0.2,静穏,,///,///
2024-01-10,3,0,-4,///,///,///,0.4,西南西,,///,///
2024-01-10,4,0,-4.1,///,///,///,0.5,西南西,,///,///
2024-01-10,5,0,-4.5,///,///,///,0.1,静穏,,///,///
2024-01-10,6,0,-4.9,///,///,///,0,静穏,,///,///
2024-01-10,7,0,-5.1,///,///,///,0.5,西北西,0,///,///
2024-01-10,8,0,-2.4,///,///,///,0.4,西,0.8,///,///
2024-01-10,9,0,0.8,///,///,///,2,東南東,1,///,///
2024-01-10,10,0,3.2,///,///,///,0.5,北北東,1,///,///
2024-01-10,11,0,5,///,///,///,1.8,東南東,0.5,///,///
2024-01-10,12,0,5.6,///,///,///,1.4,北北西,0,///,///
2024-01-10,13,0,7.8,///,///,///,1.9,北西,0,///,///
2024-01-10,14,0,9.3,///,///,///,6,北西,0.2,///,///
2024-01-10,15,0,9,///,///,///,5.7,北北西,1,///,///
2024-01-10,16,0,7.3,///,///,///,7.5,北西,0.6,///,///
2024-01-10,17,0,6,///,///,///,7.5,北西,0,///,///
2024-01-10,18,0,5,///,///,///,8.6,北西,,///,///
2024-01-10,19,0,4.4,///,///,///,7.7,北西,,///,///
2024-01-10,20,0,4.2,///,///,///,6.8,北西,,///,///
2024-01-10,21,0,4,///,///,///,5.8,北西,,///,///
2024-01-10,22,0,3.2,///,///,///,5.6,北西,,///,///
2024-01-10,23,0,2.3,///,///,///,1.9,北,,///,///
2024-01-10,24,0,2.1,///,///,///,3.5,北北西,,///,///
2024-01-11,1,0,1.9,///,///,///,3.4,北北西,,///,///
2024-01-11,2,0,2,///,///,///,2.8,北,,///,///
2024-01-11,3,0,1.9,///,///,///,1.1,北,,///,///
2024-01-11,4,0,1.1,///,///,///,1,西,,///,///
2024-01-11,5,0,1.2,///,///,///,1.2,西北西,,///,///
2024-01-11,6,0,1.4,///,///,///,0.9,西,,///,///
2024-01-11,7,0,1,///,///,///,0.6,西,0,///,///
2024-01-11,8,0,0.4,///,///,///,0.5,西南西,0,///,///
2024-01-11,9,0,1.7,///,///,///,1.2,北北西,0,///,///
2024-01-11,10,0,2.7,///,///,///,1.7,北西,0,///,///
2024-01-11,11,0,4.2,///,///,///,0.7,東南東,0,///,///
2024-01-11,12,0,5.1,///,///,///,0.4,北東,0,///,///
2024-01-11,13,0,5.7,///,///,///,0.9,東,0,///,///
2024-01-11,14,0,6.3,///,///,///,2.3,東南東,0.3,///,///
2024-01-11,15,0,7.2,///,///,///,1.5,東南東,0.2,///,///
2024-01-11,16,0,3.6,///,///,///,0.8,南南東,0.9,///,///
2024-01-11,17,0,1.3,///,///,///,1,西,0,///,///
2024-01-11,18,0,-0.3,///,///,///,0.5,西,,///,///
2024-01-11,19,0,-1.9,///,///,///,0.7,西北西,,///,///
2024-01-11,20,0,-1.1,///,///,///,1.1,北西,,///,///
2024-01-11,21,0,-2.3,///,///,///,0.3,西北西,,///,///
2024-01-11,22,0,-1.8,///,///,///,0.9,北西,,///,///
2024-01-11,23,0,-2.5,///,///,///,0.5,西北西,,///,///
2024-01-11,24,0,-2.2,///,///,///,2,北西,,///,///
2024-01-12,1,0,-3.9,///,///,///,0.7,北北西,,///,///
2024-01-12,2,0,-4.6,///,///,///,0.2,静穏,,///,///
2024-01-12,3,0,-4.9,///,///,///,0.4,西北西,,///,///
2024-01-12,4,0,-5,///,///,///,0.4,南西,,///,///
2024-01-12,5,0,-5.9,///,///,///,1.1,北西,,///,///
2024-01-12,6,0,-6,///,///,///,0.9,南東,,///,///
2024-01-12,7,0,-6.6,///,///,///,0.2,静穏,0,///,///
2024-01-12,8,0,-4,///,///,///,0.4,西,0.8,///,///
2024-01-12,9,0,-0.9,///,///,///,1.4,北北東,1,///,///
2024-01-12,10,0,2.2,///,///,///,0.7,東,1,///,///
2024-01-12,11,0,4.2,///,///,///,2.1,東南東,1,///,///
2024-01-12,12,0,6.3,///,///,///,2.2,東南東,1,///,///
2024-01-12,13,0,8.8,///,///,///,3.6,東南東,1,///,///
2024-01-12,14,0,11.3,///,///,///,3.7,南東,1,///,///
2024-01-12,15,0,12.5,///,///,///,5.1,北北西,1,///,///
2024-01-12,16,0,10.7,///,///,///,5.1,北西,0.9,///,///
2024-01-12,17,0,8.7,///,///,///,1.6,西北西,0,///,///
2024-01-12,18,0,4.6,///,///,///,0.9,西,,///,///
2024-01-12,19,0,6.5,///,///,///,2.5,西北西,,///,///
2024-01-12,20,0,4.9,///,///,///,1.2,北西,,///,///
2024-01-12,21,0,3.4,///,///,///,1.6,西北西,,///,///
2024-01-12,22,0,1,///,///,///,1,西北西,,///,///
2024-01-12,23,0,0.4,///,///,///,1,西北西,,///,///
2024-01-12,24,0,-1,///,///,///,0.7,西,,///,///
2024-01-13,1,0,-1.2,///,///,///,0.5,北西,,///,///
2024-01-13,2,0,-2,///,///,///,0.8,北北西,,///,///
2024-01-13,3,0,-1.2,///,///,///,1.3,西,,///,///
2024-01-13,4,0,-2.7,///,///,///,0.5,西南西,,///,///
2024-01-13,5,0,-3.1,///,///,///,0.3,北西,,///,///
2024-01-13,6,0,-3.5,///,///,///,0.6,北北西,,///,///
2024-01-13,7,0,-3.7,///,///,///,0.4,北西,0,///,///
2024-01-13,8,0,-1,///,///,///,0.3,南西,0.8,///,///
2024-01-13,9,0,3.1,///,///,///,2.7,東南東,1,///,///
2024-01-13,10,0,5.7,///,///,///,1.8,東南東,1,///,///
2024-01-13,11,0,8.2,///,///,///,1.7,東,1,///,///
2024-01-13,12,0,9.4,///,///,///,1.6,南南東,1,///,///
2024-01-13,13,0,8.9,///,///,///,5.1,北北西,0.1,///,///
2024-01-13,14,0,6.9,///,///,///,6.2,北北西,0,///,///
2024-01-13,15,0,5.8,///,///,///,4.4,北北西,0,///,///
2024-01-13,16,0,2.8,///,///,///,8.9,北西,0,///,///
2024-01-13,17,0,2.5,///,///,///,5,北北西,0,///,///
2024-01-13,18,0,2.4,///,///,///,6,北北西,,///,///
2024-01-13,19,0,2,///,///,///,3.3,北,,///,///
2024-01-13,20,0,1.4,///,///,///,4.6,北北西,,///,///
2024-01-13,21,0,0.8,///,///,///,4.1,北,,///,///
2024-01-13,22,0,0.4,///,///,///,6.1,北北西,,///,///
2024-01-13,23,0,0.3,///,///,///,9.1,北北西,,///,///
2024-01-13,24,0,-0.2,///,///,///,10.1,北北西,,///,///
2024-01-14,1,0,-0.4,///,///,///,9.7,北西,,///,///
2024-01-14,2,0,-0.6,///,///,///,7.1,北西,,///,///
2024-01-14,3,0,-0.3,///,///,///,4.9,北北西,,///,///
2024-01-14,4,0,-0.5,///,///,///,4.6,北北西,,///,///
2024-01-14,5,0,-2.3,///,///,///,1.3,南西,,///,///
2024-01-14,6,0,-3.5,///,///,///,0.8,北西,,///,///
2024-01-14,7,0,-4.7,///,///,///,0.9,西北西,0,///,///
2024-01-14,8,0,-2.6,///,///,///,1.8,北西,0.8,///,///
2024-01-14,9,0,-0.2,///,///,///,2.3,北北西,1,///,///
2024-01-14,10,0,1.9,///,///,///,0.9,南,1,///,///
2024-01-14,11,0,2.9,///,///,///,1.3,東,1,///,///
2024-01-14,12,0,4.2,///,///,///,1.6,南東,1,///,///
2024-01-14,13,0,6.2,///,///,///,1.6,東南東,1,///,///
2024-01-14,14,0,7.2,///,///,///,0.7,南西,1,///,///
2024-01-14,15,0,6.5,///,///,///,0.5,南西,1,///,///
2024-01-14,16,0,4.7,///,///,///,0.7,西,1,///,///
2024-01-14,17,0,2.2,///,///,///,0.9,西,0,///,///
2024-01-14,18,0,2.5,///,///,///,2.2,西北西,,///,///
2024-01-14,19,0,1.4,///,///,///,2.6,北西,,///,///
2024-01-14,20,0,0,///,///,///,1.1,北西,,///,///
2024-01-14,21,0,-1,///,///,///,1.1,西北西,,///,///
2024-01-14,22,0,-1.7,///,///,///,0.6,西南西,,///,///
2024-01-14,23,0,-2.3,///,///,///,0.8,南,,///,///
2024-01-14,24,0,-2.7,///,///,///,1.1,北東,,///,///
2024-01-15,1,0,-1.9,///,///,///,1.6,西,,///,///
2024-01-15,2,0,-2.7,///,///,///,0.6,西南西,,///,///
2024-01-15,3,0,-1.1,///,///,///,0.7,北西,,///,///
2024-01-15,4,0,-0.7,///,///,///,0.6,東南東,,///,///
2024-01-15,5,0,-0.6,///,///,///,0.9,東南東,,///,///
2024-01-15,6,0,-1.3,///,///,///,0.9,南東,,///,///
2024-01-15,7,0,-1,///,///,///,0.1,静穏,0,///,///
2024-01-15,8,0,-0.1,///,///,///,0.2,静穏,0,///,///
2024-01-15,9,0,1.5,///,///,///,2.1,東南東,0,///,///
2024-01-15,10,0,6,///,///,///,1.4,南東,0.3,///,///
2024-01-15,11,0,9.1,///,///,///,6.4,北西,0.9,///,///
2024-01-15,12,0,10.1,///,///,///,8.5,北西,1,///,///
2024-01-15,13,0,10.8,///,///,///,5.9,北北西,1,///,///
2024-01-15,14,0,10.2,///,///,///,5.8,北,1,///,///
2024-01-15,15,0,9.7,///,///,///,5.9,北,1,///,///
2024-01-15,16,0,7.8,///,///,///,6.2,北北西,1,///,///
2024-01-15,17,0,6.2,///,///,///,6,北北西,0,///,///
2024-01-15,18,0,4.9,///,///,///,6.3,北北西,,///,///
2024-01-15,19,0,4.5,///,///,///,7.7,北北西,,///,///
2024-01-15,20,0,3.8,///,///,///,8.1,北北西,,///,///
2024-01-15,21,0,3.4,///,///,///,7.8,北北西,,///,///
2024-01-15,22,0,2.8,///,///,///,7.4,北北西,,///,///
2024-01-15,23,0,2.5,///,///,///,7.2,北北西,,///,///
2024-01-15,24,0,1.1,///,///,///,5.4,北北西,,///,///
2024-01-16,1,0,1.4,///,///,///,4.4,北,,///,///
2024-01-16,2,0,1.5,///,///,///,5.3,北北西,,///,///
2024-01-16,3,0,1.2,///,///,///,4.2,北,,///,///
2024-01-16,4,0,0.7,///,///,///,3.9,北北西,,///,///
2024-01-16,5,0,0.3,///,///,///,3.9,北,,///,///
2024-01-16,6,0,-0.1,///,///,///,4.1,北北西,,///,///
2024-01-16,7,0,-0.5,///,///,///,5.3,北西,0,///,///
2024-01-16,8,0,0.3,///,///,///,4.6,北北西,0.8,///,///
2024-01-16,9,0,1.7,///,///,///,6,北北西,1,///,///
2024-01-16,10,0,2.9,///,///,///,5.5,北北西,1,///,///
2024-01-16,11,0,3.7,///,///,///,5.5,北北東,1,///,///
2024-01-16,12,0,4.8,///,///,///,8,北北西,1,///,///
2024-01-16,13,0,5.2,///,///,///,7.3,北北西,1,///,///
2024-01-16,14,0,5.9,///,///,///,8.1,北北西,1,///,///
2024-01-16,15,0,6,///,///,///,8,北西,1,///,///
2024-01-16,16,0,4.9,///,///,///,10.9,北西,1,///,///
2024-01-16,17,0,4.5,///,///,///,12.3,北西,0,///,///
2024-01-16,18,0,3.7,///,///,///,11.3,北西,,///,///
2024-01-16,19,0,3.3,///,///,///,10.7,北北西,,///,///
2024-01-16,20,0,3.7,///,///,///,8.2,北北西,,///,///
2024-01-16,21,0,4,///,///,///,9.3,北北西,,///,///
2024-01-16,22,0,3.6,///,///,///,8.1,北北西,,///,///
2024-01-16,23,0,1.8,///,///,///,6.1,北北西,,///,///
2024-01-16,24,0,1.3,///,///,///,7.8,北北西,,///,///
2024-01-17,1,0,0.7,///,///,///,7.3,北西,,///,///
2024-01-17,2,0,0.4,///,///,///,6.9,北西,,///,///
2024-01-17,3,0,-0.1,///,///,///,2.8,西北西,,///,///
2024-01-17,4,0,-0.4,///,///,///,1.2,南,,///,///
2024-01-17,5,0,-3.8,///,///,///,0.7,南西,,///,///
2024-01-17,6,0,-4.1,///,///,///,0.5,西,,///,///
2024-01-17,7,0,-5,///,///,///,1,北西,0,///,///
2024-01-17,8,0,-2.2,///,///,///,0.5,北西,0.8,///,///
2024-01-17,9,0,0.8,///,///,///,1.8,北北西,1,///,///
2024-01-17,10,0,3.2,///,///,///,1.7,北北西,1,///,///
2024-01-17,11,0,5.7,///,///,///,0.9,東北東,1,///,///
2024-01-17,12,0,7.5,///,///,///,1.5,南東,1,///,///
2024-01-17,13,0,8.7,///,///,///,2.5,東南東,1,///,///
2024-01-17,14,0,9.9,///,///,///,2,東南東,1,///,///
2024-01-17,15,0,10.5,///,///,///,1.1,南南東,1,///,///
2024-01-17,16,0,6.6,///,///,///,1.1,西南西,1,///,///
2024-01-17,17,0,3.6,///,///,///,0.9,西,0,///,///
2024-01-17,18,0,3.9,///,///,///,1.3,北西,,///,///
2024-01-17,19,0,2.1,///,///,///,0.5,北西,,///,///
2024-01-17,20,0,2,///,///,///,1.4,北西,,///,///
2024-01-17,21,0,1.4,///,///,///,1.5,北西,,///,///
2024-01-17,22,0,1.1,///,///,///,0.6,北西,,///,///
2024-01-17,23,0,-0.7,///,///,///,0.7,西北西,,///,///
